City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Cape Town,-33.9258,18.4232,17.37,68,0,7.2,ZA,1645069314
101,Esperance,-33.8667,121.9,22.91,65,51,5.53,AU,1645069616
102,Hurghada,27.2574,33.8129,12.02,54,0,3.6,EG,1645069616
103,Hermanus,-34.4187,19.2345,15.5,73,0,5.31,ZA,1645069617
104,Wyndham,37.6985,-77.6125,13.19,63,100,4.12,US,1645069617
105,Port Augusta,-32.5,137.7667,26.5,40,25,7.71,AU,1645069618
106,Kutum,14.2,24.6667,12.88,21,10,2.15,SD,1645069614
107,Port Hardy,50.6996,-127.4199,7.09,93,75,1.54,CA,1645069559
108,Sinjār,36.3209,41.8754,7.57,55,1,1.62,IQ,1645069619
109,Vila Velha,-20.3297,-40.2925,23.97,90,75,1.03,BR,1645069550
110,Nome,64.5011,-165.4064,-21.83,87,21,3.65,US,1645069619
111,Porto-Novo,6.4965,2.6036,27.9,90,49,2.22,BJ,1645069620
112,East London,-33.0153,27.9116,17.52,77,0,4.63,ZA,1645069620
113,Lavrentiya,65.5833,-171.0,-26.16,94,9,3.99,RU,1645069621
114,Santa Cruz Cabrália,-16.2781,-39.0247,26.13,83,75,1.54,BR,1645069621
115,Zwedru,6.0667,-8.1281,21.97,99,85,1.0,LR,1645069622
116,Te Anau,-45.4167,167.7167,22.43,45,81,3.37,NZ,1645069622
117,Waipawa,-41.4122,175.5153,17.39,62,0,2.56,NZ,1645069623
118,Maniitsoq,65.4167,-52.9,-22.43,94,99,3.55,GL,1645069623
119,Ponta do Sol,32.6667,-17.1,16.35,70,10,3.3,PT,1645069624
120,Krutinka,56.0055,71.5113,-11.9,94,96,6.07,RU,1645069625
121,Bengkulu,-3.8004,102.2655,27.91,67,100,0.64,ID,1645069625
122,Anloga,5.7947,0.8973,28.12,86,17,4.86,GH,1645069626
123,Ust'-Kulom,61.6864,53.6902,-1.07,94,100,3.68,RU,1645069626
124,Ancud,-41.8697,-73.8203,10.24,75,0,2.62,CL,1645069627
125,Alta Floresta,-9.8756,-56.0861,20.97,98,64,1.11,BR,1645069627
126,Viedma,-40.8135,-62.9967,14.94,55,3,2.11,AR,1645069628
127,Dhidhdhoo,6.8833,73.1,27.14,70,7,2.57,MV,1645069628
128,Clyde River,70.4692,-68.5914,-35.87,68,0,2.57,CA,1645069629
129,Lompoc,34.6391,-120.4579,12.82,86,40,5.81,US,1645069629
130,Constitución,-35.3333,-72.4167,16.64,67,0,4.22,CL,1645069556
131,Kinkala,-4.3614,14.7644,22.17,94,99,1.08,CG,1645069630
132,Touros,-5.1989,-35.4608,25.5,73,92,1.87,BR,1645069630
133,Bredasdorp,-34.5322,20.0403,12.93,72,13,2.8,ZA,1645069631
134,Kulhudhuffushi,6.6221,73.07,27.02,70,12,2.48,MV,1645069631
135,Issia,6.4922,-6.5856,22.16,99,95,1.19,CI,1645069632
136,Sørland,67.667,12.6934,0.03,60,100,8.84,NO,1645069632
137,Tual,-5.6667,132.75,27.85,71,65,1.77,ID,1645069632
138,Itarema,-2.9248,-39.9167,25.13,80,100,2.31,BR,1645069633
139,Arraial do Cabo,-22.9661,-42.0278,23.34,81,1,2.0,BR,1645069633
140,Wajir,1.7471,40.0573,24.98,65,0,3.09,KE,1645069634
141,Tilichiki,60.4667,166.1,-20.87,91,100,4.93,RU,1645069635
